date,county,state,fips,cases,deaths
2020-03-06,Charleston,South Carolina,45019,1,0
2020-03-06,Kershaw,South Carolina,45055,1,0
2020-04-06,Abbeville,South Carolina,45001,6,0
2020-04-06,Aiken,South Carolina,45003,27,1
2020-04-06,Allendale,South Carolina,45005,2,0
2020-04-06,Anderson,South Carolina,45007,72,4
2020-04-06,Bamberg,South Carolina,45009,5,0
2020-04-06,Barnwell,South Carolina,45011,3,0
2020-04-06,Beaufort,South Carolina,45013,163,4
2020-04-06,Berkeley,South Carolina,45015,52,0
2020-04-06,Calhoun,South Carolina,45017,5,1
2020-04-06,Charleston,South Carolina,45019,300,1
2020-04-06,Cherokee,South Carolina,45021,4,0
2020-04-06,Chester,South Carolina,45023,14,0
2020-04-06,Chesterfield,South Carolina,45025,15,0
2020-04-06,Clarendon,South Carolina,45027,58,2
2020-04-06,Colleton,South Carolina,45029,10,0
2020-04-06,Darlington,South Carolina,45031,27,0
2020-04-06,Dillon,South Carolina,45033,1,0
2020-04-06,Dorchester,South Carolina,45035,52,0
2020-04-06,Edgefield,South Carolina,45037,6,0
2020-04-06,Fairfield,South Carolina,45039,16,0
2020-04-06,Florence,South Carolina,45041,39,5
2020-04-06,Georgetown,South Carolina,45043,21,1
2020-04-06,Greenville,South Carolina,45045,204,2
2020-04-06,Greenwood,South Carolina,45047,11,0
2020-04-06,Hampton,South Carolina,45049,3,0
2020-04-06,Horry,South Carolina,45051,76,6
2020-04-06,Jasper,South Carolina,45053,11,0
2020-04-06,Kershaw,South Carolina,45055,152,2
2020-04-06,Lancaster,South Carolina,45057,43,0
2020-04-06,Laurens,South Carolina,45059,6,0
2020-04-06,Lee,South Carolina,45061,18,2
2020-04-06,Lexington,South Carolina,45063,124,3
2020-04-06,Marion,South Carolina,45067,4,1
2020-04-06,Marlboro,South Carolina,45069,6,0
2020-04-06,McCormick,South Carolina,45065,2,0
2020-04-06,Newberry,South Carolina,45071,7,0
2020-04-06,Oconee,South Carolina,45073,8,0
2020-04-06,Orangeburg,South Carolina,45075,28,0
2020-04-06,Pickens,South Carolina,45077,20,0
2020-04-06,Richland,South Carolina,45079,311,7
2020-04-06,Saluda,South Carolina,45081,4,0
2020-04-06,Spartanburg,South Carolina,45083,88,1
2020-04-06,Sumter,South Carolina,45085,90,3
2020-04-06,Union,South Carolina,45087,12,0
2020-04-06,Williamsburg,South Carolina,45089,11,0
